"tpIdent","code","name","group"
"T-100-90",101,"Jack pine","White–Red–Jack Pine"
"T-101-01",902,"Paper birch","Aspen–Birch"
"T-101-02",121,"Balsam fir","Spruce–Fir"
"T-101-03",125,"Black spruce","Spruce–Fir"
"T-101-04",121,"Balsam fir","Spruce–Fir"
"T-101-05",127,"Northern white-cedar","Spruce–Fir"
"T-101-09",902,"Paper birch","Aspen–Birch"
"T-102-03",101,"Jack pine","White–Red–Jack Pine"
"T-102-04",101,"Jack pine","White–Red–Jack Pine"
"T-102-05",101,"Jack pine","White–Red–Jack Pine"
"T-102-06",101,"Jack pine","White–Red–Jack Pine"
"T-104-02",902,"Paper birch","Aspen–Birch"
"T-104-04",125,"Black spruce","Spruce–Fir"
"T-110-01",902,"Paper birch","Aspen–Birch"
"T-110-02",902,"Paper birch","Aspen–Birch"
"T-111-02",901,"Aspen","Aspen–Birch"
"T-111-03",103,"Eastern white pine","White–Red–Jack Pine"
"T-111-04",121,"Balsam fir","Spruce–Fir"
"T-112-01",409,"Other pine / hardwood","Oak–Pine"
"T-112-02",101,"Jack pine","White–Red–Jack Pine"
"TB006-12",101,"Jack pine","White–Red–Jack Pine"
